Master Category,Subcategory,Date,Location,Payee,Description,Payment Method,Amount
Food,Groceries,12/01/2025,Denver CO,COSTCO GAS,PURCHASE AUTHORIZED ON 12/01 COSTCO GAS #1652 DENVER CO,DEBIT CARD ...7761,-80.80
Online,Shopping,2025-06-12,Online,AMAZON,  AMAZON MKTPL*N8W3GAD999 Amzn.com/bill WA   ,VISA CARD ...9876,-154.48
Food,Groceries,2025-11-06,Denver CO,COSTCO GAS,PURCHASE AUTHORIZED ON 11/06 COSTCO GAS #1652 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-58.50
Home,Mortgage,2025-06-03,Online,PENNYMAC,PENNYMAC         CASH Jun 25 8200221414-0002 CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-2480.00
Online,Shopping,2025-05-08,Online,AMAZON.COM,AMAZON  MKTPL*2AZQAJ2EVB  Amzn.com/bill  WA,DEBIT CARD ...7761,-113.98
Home,Mortgage,06/28/2025,Online,PENNYMAC,PENNYMAC                  CASH  Jun  25  8132443879-0008  CUSTOMER  NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-2547.56
Food,Groceries,2025-06-11,Denver CO,KING SOOPERS,PURCHASE AUTHORIZED ON 06/11 KING SOOPERS #0083 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-21.33
Transfers,Zelle,2025-04-19,Online,ZELLE,ZELLE  TO    JANE  SMITH  ON  04/19  REF  #  5NQMTUJPV9EK  HELP,VISA CARD ...9876,-110.44
Utilities,Internet,12/11/2025,Online,COMCAST,COMCAST-XFINITY  CABLE SVCS 251211 4C33V8B  CUSTOMER NAME,DEBIT CARD ...7761,-74.74
Utilities,Internet,02/23/2025,Online,COMCAST,COMCAST-XFINITY    CABLE  SVCS  250223  PK45UPJ    CUSTOMER  NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-138.48
Transport,Tolls,2025-07-25,Denver CO,E 470 EXPRESS TOLLS,E 470 EXPRESS TOLLS 303-5373470 CO,VISA CARD ...9876,-9.48
Bills,Insurance,02/05/2025,Online,STATE FARM,  STATE FARM  INSURANCE 800-956-6310 IL   ,VISA CARD ...9876,-209.27
Utilities,Mobile,10/21/2025,Online,XFINITY MOBILE,XFINITY MOBILE 888-936-4968 PA,DEBIT CARD ...7761,-80.91
Food,Convenience,07/16/2025,Aurora CO,7-ELEVEN,PURCHASE AUTHORIZED ON 07/16 7-ELEVEN BOULDER CO,DEBIT CARD ...7761,-5.32
Rewards,Cash Back,04/18/2025,Online,CASH BACK,CASH BACK REDEMPTION REF 131692245,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,46.29
Dining,Fast Food,2025-06-24,Aurora CO,CHIPOTLE,PURCHASE AUTHORIZED ON 06/24 CHIPOTLE 0871 AURORA CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-26.08
Transport,Tolls,2025-10-26,Denver CO,E 470 EXPRESS TOLLS,E 470 EXPRESS TOLLS 303-5373470 CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-7.86
Bills,Insurance,2025-10-15,Online,STATE FARM,STATE  FARM    INSURANCE  800-956-6310  IL,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-171.04
Transport,Tolls,02/02/2025,Denver CO,E 470 EXPRESS TOLLS,E  470  EXPRESS  TOLLS  303-5373470  CO,DEBIT CARD ...7761,-6.86
Home,Mortgage,2025-10-29,Online,PENNYMAC,  PENNYMAC         CASH Oct 25 8245715035-0007 CUSTOMER NAME   ,DEBIT CARD ...7761,-1970.93
Dining,Fast Food,12/23/2025,Aurora CO,CHIPOTLE,PURCHASE AUTHORIZED ON 12/23 CHIPOTLE 0871 AURORA CO,VISA CARD ...9876,-25.91
Utilities,Internet,2025-06-05,Online,COMCAST,COMCAST-XFINITY  CABLE SVCS 250605 TMDYR57  CUSTOMER NAME,DEBIT CARD ...7761,-100.05
Rewards,Cash Back,2025-06-23,Online,CASH BACK,CASH BACK REDEMPTION REF 177019613,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,16.56
Cash,ATM,04/11/2025,Aurora CO,ATM WITHDRAWAL,ATM WITHDRAWAL AUTHORIZED ON 04/11 3521 N Tower Rd Aurora CO 000,VISA CARD ...9876,-160.94
Food,Groceries,02/06/2025,Denver CO,COSTCO GAS,  PURCHASE AUTHORIZED ON 02/06 COSTCO GAS #1652 DENVER CO   ,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-54.62
Food,Groceries,2025-03-09,Denver CO,KING SOOPERS,PURCHASE AUTHORIZED ON 03/09 KING SOOPERS #0083 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-188.73
Food,Convenience,07/09/2025,Aurora CO,7-ELEVEN,PURCHASE AUTHORIZED ON 07/09 7-ELEVEN AURORA CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-11.66
Rewards,Cash Back,2025-05-23,Online,CASH BACK,CASH BACK REDEMPTION REF 151744408,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,29.51
Utilities,Mobile,08/26/2025,Online,XFINITY MOBILE,XFINITY MOBILE 888-936-4968 PA,VISA CARD ...9876,-80.09
Transfers,Zelle,2025-04-03,Online,ZELLE,ZELLE  TO    NOAH  WILSON  ON  04/03  REF  #  2ALTLZ6DRPQK  HELP,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-365.16
Food,Groceries,01/14/2025,Denver CO,SPROUTS,SPROUTS FARMERS MAR DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-22.97
Utilities,Mobile,2025-02-12,Online,XFINITY MOBILE,XFINITY  MOBILE  888-936-4968  PA,DEBIT CARD ...7761,-78.58
Transfers,Online Transfer,05/26/2025,Online,,ONLINE TRANSFER REF YL53UM56QZEK9MTWYQ TO SAVINGS,DEBIT CARD ...7761,-277.75
Cash,ATM,11/11/2025,Aurora CO,ATM WITHDRAWAL,ATM WITHDRAWAL AUTHORIZED ON 11/11 3521 N Tower Rd Aurora CO 000,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-195.94
Transfers,Online Transfer,2025-03-10,Online,,ONLINE TRANSFER REF 39FP2AXSU5JBZ4TDHN TO SAVINGS,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-210.93
Utilities,Internet,07/11/2025,Online,COMCAST,  COMCAST-XFINITY    CABLE  SVCS  250711  DPCUSED    CUSTOMER  NAME   ,VISA CARD ...9876,-125.99
Transfers,Online Transfer,08/05/2025,Online,,ONLINE TRANSFER REF T559PANAKXPL7M825Q TO SAVINGS,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-96.85
Food,Groceries,09/23/2025,Denver CO,SPROUTS,SPROUTS FARMERS MAR DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-170.26
Bills,Insurance,01/09/2025,Online,STATE FARM,STATE FARM  INSURANCE 800-956-6310 IL,DEBIT CARD ...7761,-158.40
Transfers,Online Transfer,07/31/2025,Online,,ONLINE TRANSFER REF RW4P2NAFDDCDRE6HAV TO SAVINGS,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-519.19
Bills,Insurance,02/03/2025,Online,STATE FARM,STATE FARM  INSURANCE 800-956-6310 IL,VISA CARD ...9876,-147.00
Cash,ATM,11/24/2025,Aurora CO,ATM WITHDRAWAL,ATM WITHDRAWAL AUTHORIZED ON 11/24 3521 N Tower Rd Aurora CO 000,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-102.78
Online,Shopping,05/15/2025,Online,AMAZON,AMAZON MKTPL*M69Y7DQBKN Amzn.com/bill WA,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-97.13
Transfers,Zelle,04/17/2025,Online,ZELLE,ZELLE  TO    NOAH  WILSON  ON  04/17  REF  #  Z8AURL4PSVR5  HELP,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-297.75
Home,Mortgage,2025-08-17,Online,PENNYMAC,PENNYMAC         CASH Aug 25 8149539129-0008 CUSTOMER NAME,VISA CARD ...9876,-2531.74
Education,Student Loan,01/21/2025,Online,DEPT EDUCATION,DEPT EDUCATION   STUDENT LN 250121 7NR6S2GJFW8     CUSTOMER NAME,DEBIT CARD ...7761,-296.30
Food,Groceries,03/30/2025,Denver CO,KING SOOPERS,PURCHASE AUTHORIZED ON 03/30 KING SOOPERS #0083 DENVER CO,DEBIT CARD ...7761,-68.88
Food,Groceries,2025-01-28,Denver CO,COSTCO WHSE,  PURCHASE AUTHORIZED ON 01/28 COSTCO WHSE #1652 DENVER CO   ,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-126.86
Rewards,Cash Back,12/07/2025,Online,CASH BACK,  CASH BACK REDEMPTION REF 124199907   ,VISA CARD ...9876,38.48
Food,Groceries,2025-10-27,Denver CO,KING SOOPERS,PURCHASE AUTHORIZED ON 10/27 KING SOOPERS #0083 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-140.67
Online,Shopping,11/17/2025,Online,AMAZON,AMAZON  MKTPL*UQH34P4S8B  Amzn.com/bill  WA,VISA CARD ...9876,-63.06
Transfers,Online Transfer,12/02/2025,Online,,ONLINE TRANSFER REF EFPD3LDHPA9E59YNLH TO SAVINGS,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-507.95
Food,Groceries,2025-05-04,Denver CO,KING SOOPERS,PURCHASE AUTHORIZED ON 05/04 KING SOOPERS #0083 DENVER CO,VISA CARD ...9876,-108.74
Food,Groceries,11/30/2025,Denver CO,COSTCO GAS,PURCHASE  AUTHORIZED  ON  11/30  COSTCO  GAS  #1652  DENVER  CO,DEBIT CARD ...7761,-66.75
Food,Groceries,03/02/2025,Denver CO,COSTCO WHSE,PURCHASE AUTHORIZED ON 03/02 COSTCO WHSE #1652 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-289.80
Utilities,Internet,04/14/2025,Online,COMCAST,COMCAST-XFINITY  CABLE SVCS 250414 C5ZUMUR  CUSTOMER NAME,VISA CARD ...9876,-113.96
Food,Groceries,08/23/2025,Denver CO,KING SOOPERS,PURCHASE  AUTHORIZED  ON  08/23  KING  SOOPERS  #0083  DENVER  CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-193.16
Transfers,Zelle,08/08/2025,Online,ZELLE,ZELLE TO  EMMA BROWN ON 08/08 REF # 8DP2W4KDN5PS SUPPORT,DEBIT CARD ...7761,-344.90
Transport,Tolls,2025-08-25,Denver CO,E 470 EXPRESS TOLLS,E 470 EXPRESS TOLLS 303-5373470 CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-16.18
Bills,Insurance,06/25/2025,Online,STATE FARM,STATE FARM  INSURANCE 800-956-6310 IL,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-144.05
Online,Shopping,10/22/2025,Online,AMAZON,  AMAZON MKTPL*UBWT8R5MKE Amzn.com/bill WA   ,VISA CARD ...9876,-81.94
Education,Student Loan,06/12/2025,Online,DEPT EDUCATION,DEPT EDUCATION   STUDENT LN 250612 MPPGQVFCDNE     CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-209.23
Dining,Fast Food,06/01/2025,Aurora CO,CHICK-FIL-A,PURCHASE AUTHORIZED ON 06/01 CHICK-FIL-A #03255 AURORA CO,VISA CARD ...9876,-14.55
Food,Groceries,10/10/2025,Denver CO,SPROUTS,SPROUTS FARMERS MAR DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-16.45
Cash,ATM,2025-12-04,Aurora CO,ATM WITHDRAWAL,ATM WITHDRAWAL AUTHORIZED ON 12/04 3521 N Tower Rd Aurora CO 000,DEBIT CARD ...7761,-95.00
Transfers,Online Transfer,06/25/2025,Online,,ONLINE TRANSFER REF SXQT4YWEY5VH365RAD TO SAVINGS,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-344.35
Food,Groceries,07/22/2025,Denver CO,KING SOOPERS,PURCHASE AUTHORIZED ON 07/22 KING SOOPERS #0083 DENVER CO,VISA CARD ...9876,-185.80
Food,Groceries,2025-09-14,Denver CO,SPROUTS,SPROUTS  FARMERS  MAR  DENVER  CO,VISA CARD ...9876,-134.91
Utilities,Internet,11/23/2025,Online,COMCAST,  COMCAST-XFINITY  CABLE SVCS 251123 D93RVHY  CUSTOMER NAME   ,VISA CARD ...9876,-77.81
Transfers,Zelle,07/05/2025,Online,ZELLE,ZELLE  TO    CHRIS  PATEL  ON  07/05  REF  #  CP9UZ3CH7BN2  UTILITIES,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-301.06
Transport,Tolls,2025-10-24,Denver CO,E 470 EXPRESS TOLLS,E 470 EXPRESS TOLLS 303-5373470 CO,VISA CARD ...9876,-12.63
Food,Groceries,03/14/2025,Denver CO,COSTCO WHSE,PURCHASE AUTHORIZED ON 03/14 COSTCO WHSE #1652 DENVER CO,VISA CARD ...9876,-203.08
Food,Groceries,2025-02-19,Denver CO,COSTCO GAS,PURCHASE  AUTHORIZED  ON  02/19  COSTCO  GAS  #1652  DENVER  CO,VISA CARD ...9876,-36.08
Food,Groceries,12/28/2025,Denver CO,KING SOOPERS,PURCHASE  AUTHORIZED  ON  12/28  KING  SOOPERS  #0083  DENVER  CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-153.36
Dining,Fast Food,2025-07-08,Aurora CO,CHIPOTLE,PURCHASE AUTHORIZED ON 07/08 CHIPOTLE 0871 AURORA CO,VISA CARD ...9876,-22.86
Food,Groceries,2025-10-28,Denver CO,COSTCO GAS,PURCHASE AUTHORIZED ON 10/28 COSTCO GAS #1652 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-67.05
Utilities,Internet,2025-10-19,Online,COMCAST,COMCAST-XFINITY  CABLE SVCS 251019 YHJ4MMC  CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-71.55
Transfers,Online Transfer,01/06/2025,Online,,  ONLINE  TRANSFER  REF  Z4MH83VVH5ARNMA8AB  TO  SAVINGS   ,DEBIT CARD ...7761,-141.70
Food,Groceries,03/18/2025,Denver CO,COSTCO WHSE,  PURCHASE AUTHORIZED ON 03/18 COSTCO WHSE #1652 DENVER CO   ,VISA CARD ...9876,-95.91
Food,Groceries,2025-10-17,Denver CO,KING SOOPERS,PURCHASE AUTHORIZED ON 10/17 KING SOOPERS #0083 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-114.23
Utilities,Internet,2025-11-19,Online,COMCAST,COMCAST-XFINITY  CABLE SVCS 251119 QCLDQTB  CUSTOMER NAME,VISA CARD ...9876,-128.79
Education,Student Loan,2025-10-20,Online,DEPT EDUCATION,DEPT EDUCATION   STUDENT LN 251020 FYRBLL5LV7R     CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-405.16
Dining,Fast Food,04/29/2025,Aurora CO,CHICK-FIL-A,  PURCHASE AUTHORIZED ON 04/29 CHICK-FIL-A #03255 AURORA CO   ,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-17.16
Dining,Fast Food,2025-06-24,Aurora CO,CHICK-FIL-A,PURCHASE AUTHORIZED ON 06/24 CHICK-FIL-A #03255 AURORA CO,DEBIT CARD ...7761,-11.81
Dining,Fast Food,04/08/2025,Aurora CO,CHICK-FIL-A,PURCHASE AUTHORIZED ON 04/08 CHICK-FIL-A #03255 AURORA CO,VISA CARD ...9876,-19.16
Bills,Insurance,06/27/2025,Online,STATE FARM,STATE FARM  INSURANCE 800-956-6310 IL,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-157.21
Transport,Tolls,05/29/2025,Denver CO,E 470 EXPRESS TOLLS,E 470 EXPRESS TOLLS 303-5373470 CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-7.14
Home,Mortgage,08/20/2025,Online,PENNYMAC,PENNYMAC         CASH Aug 25 8508562079-0007 CUSTOMER NAME,DEBIT CARD ...7761,-1947.56
Food,Groceries,2025-01-13,Denver CO,COSTCO WHSE,PURCHASE AUTHORIZED ON 01/13 COSTCO WHSE #1652 DENVER CO,VISA CARD ...9876,-212.60
Home,Mortgage,2025-05-18,Online,PENNYMAC,  PENNYMAC         CASH May 25 8524963576-0007 CUSTOMER NAME   ,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-1977.99
Home,Mortgage,2025-08-28,Online,PENNYMAC,PENNYMAC         CASH Aug 25 8911830372-0007 CUSTOMER NAME,VISA CARD ...9876,-2402.79
Food,Groceries,2025-05-20,Denver CO,SPROUTS,SPROUTS FARMERS MAR DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-131.44
Food,Groceries,2025-06-18,Denver CO,COSTCO GAS,PURCHASE AUTHORIZED ON 06/18 COSTCO GAS #1652 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-62.27
Food,Groceries,2025-04-08,Denver CO,SPROUTS,SPROUTS FARMERS MAR DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-53.03
Cash,ATM,12/24/2025,Aurora CO,ATM WITHDRAWAL,ATM WITHDRAWAL AUTHORIZED ON 12/24 3521 N Tower Rd Aurora CO 000,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-160.40
Food,Convenience,2025-10-06,Aurora CO,7-ELEVEN,PURCHASE  AUTHORIZED  ON  10/06  7-ELEVEN  AURORA  CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-8.10
Food,Groceries,2025-03-08,Denver CO,SPROUTS,SPROUTS  FARMERS  MAR  DENVER  CO,DEBIT CARD ...7761,-63.43
Education,Student Loan,02/20/2025,Online,DEPT EDUCATION,  DEPT EDUCATION   STUDENT LN 250220 V93MXNZCGFH     CUSTOMER NAME   ,VISA CARD ...9876,-125.20
Home,Mortgage,2025-06-14,Online,PENNYMAC,PENNYMAC         CASH Jun 25 8406857607-0009 CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-2196.74
Home,Mortgage,2025-07-22,Online,PENNYMAC,PENNYMAC         CASH Jul 25 8740204610-0007 CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-1840.92
Food,Convenience,09/09/2025,Aurora CO,7-ELEVEN,PURCHASE AUTHORIZED ON 09/09 7-ELEVEN DENVER CO,VISA CARD ...9876,-8.51
Transfers,Zelle,2025-07-20,Online,ZELLE,ZELLE  TO    CHRIS  PATEL  ON  07/20  REF  #  DJ4PX5A999VP  THANK  YOU,VISA CARD ...9876,-349.37
Cash,ATM,2025-02-23,Aurora CO,ATM WITHDRAWAL,ATM  WITHDRAWAL  AUTHORIZED  ON  02/23  3521  N  Tower  Rd  Aurora  CO  000,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-159.19
Online,Shopping,2025-08-04,Online,AMAZON,AMAZON MKTPL*S44ZWJT94A Amzn.com/bill WA,VISA CARD ...9876,-144.74
Rewards,Cash Back,09/21/2025,Online,CASH BACK,CASH BACK REDEMPTION REF 190769514,DEBIT CARD ...7761,64.62
Transport,Tolls,2025-01-15,Denver CO,E 470 EXPRESS TOLLS,E 470 EXPRESS TOLLS 303-5373470 CO,VISA CARD ...9876,-2.19
Cash,ATM,2025-09-22,Aurora CO,ATM WITHDRAWAL,ATM WITHDRAWAL AUTHORIZED ON 09/22 3521 N Tower Rd Aurora CO 000,DEBIT CARD ...7761,-69.51
Rewards,Cash Back,2025-02-22,Online,CASH BACK,  CASH BACK REDEMPTION REF 133446484   ,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,77.63
Transfers,Online Transfer,05/27/2025,Online,,ONLINE TRANSFER REF EGJEPA9M9D34EWVYX3 TO SAVINGS,VISA CARD ...9876,-313.18
Food,Convenience,03/26/2025,Aurora CO,7-ELEVEN,PURCHASE AUTHORIZED ON 03/26 7-ELEVEN DENVER CO,VISA CARD ...9876,-7.75
Dining,Fast Food,2025-08-06,Aurora CO,CHIPOTLE,PURCHASE AUTHORIZED ON 08/06 CHIPOTLE 0871 AURORA CO,DEBIT CARD ...7761,-12.40
Home,Mortgage,2025-01-15,Online,PENNYMAC,PENNYMAC         CASH Jan 25 8584439556-0004 CUSTOMER NAME,VISA CARD ...9876,-2327.39
Transport,Tolls,07/08/2025,Denver CO,E 470 EXPRESS TOLLS,E 470 EXPRESS TOLLS 303-5373470 CO,VISA CARD ...9876,-16.26
Food,Groceries,10/10/2025,Denver CO,COSTCO WHSE,PURCHASE  AUTHORIZED  ON  10/10  COSTCO  WHSE  #1652  DENVER  CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-177.45
Food,Groceries,2025-12-10,Denver CO,COSTCO WHSE,PURCHASE AUTHORIZED ON 12/10 COSTCO WHSE #1652 DENVER CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-113.03
Cash,ATM,04/16/2025,Aurora CO,ATM WITHDRAWAL,ATM WITHDRAWAL AUTHORIZED ON 04/16 3521 N Tower Rd Aurora CO 000,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-96.41
Transfers,Zelle,04/11/2025,Online,ZELLE,  ZELLE TO  CHRIS PATEL ON 04/11 REF # L683CHSYVAGH SUPPORT   ,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-397.55
Food,Convenience,06/20/2025,Aurora CO,7-ELEVEN,PURCHASE AUTHORIZED ON 06/20 7-ELEVEN CENTENNIAL CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-7.77
Transfers,Online Transfer,11/18/2025,Online,,ONLINE TRANSFER REF WH4PQL5T9FCDF6A7GJ TO SAVINGS,VISA CARD ...9876,-359.09
Food,Groceries,2025-05-03,Denver CO,COSTCO WHSE,PURCHASE AUTHORIZED ON 05/03 COSTCO WHSE #1652 DENVER CO,DEBIT CARD ...7761,-365.45
Rewards,Cash Back,2025-12-12,Online,CASH BACK,  CASH BACK REDEMPTION REF 182636608   ,DEBIT CARD ...7761,39.39
Bills,Insurance,06/24/2025,Online,STATE FARM,STATE FARM  INSURANCE 800-956-6310 IL,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-110.67
Education,Student Loan,11/04/2025,Online,DEPT EDUCATION,DEPT EDUCATION   STUDENT LN 251104 XPGCQQ8DAVK     CUSTOMER NAME,VISA CARD ...9876,-151.83
Food,Groceries,02/19/2025,Denver CO,SPROUTS,SPROUTS  FARMERS  MAR  DENVER  CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-92.19
Dining,Fast Food,2025-06-30,Aurora CO,CHIPOTLE,PURCHASE AUTHORIZED ON 06/30 CHIPOTLE 0871 AURORA CO,DEBIT CARD ...7761,-13.78
Rewards,Cash Back,10/20/2025,Online,CASH BACK,CASH BACK REDEMPTION REF 106050375,DEBIT CARD ...7761,54.84
Online,Shopping,05/16/2025,Online,AMAZON,AMAZON  MKTPL*QYS3XMHMGY  Amzn.com/bill  WA,VISA CARD ...9876,-51.22
Food,Convenience,03/27/2025,Aurora CO,7-ELEVEN,  PURCHASE AUTHORIZED ON 03/27 7-ELEVEN CENTENNIAL CO   ,DEBIT CARD ...7761,-14.67
Transfers,Online Transfer,10/12/2025,Online,,  ONLINE TRANSFER REF UX5GB2G3DUYBYLFEKD TO SAVINGS   ,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-261.95
Bills,Insurance,02/22/2025,Online,STATE FARM,STATE FARM  INSURANCE 800-956-6310 IL,VISA CARD ...9876,-100.51
Food,Convenience,03/10/2025,Aurora CO,7-ELEVEN,PURCHASE AUTHORIZED ON 03/10 7-ELEVEN BOULDER CO,VISA CARD ...9876,-4.51
Education,Student Loan,01/09/2025,Online,DEPT EDUCATION,DEPT  EDUCATION      STUDENT  LN  250109  B9QSN78KVCK          CUSTOMER  NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-306.67
Dining,Fast Food,2025-04-14,Aurora CO,CHIPOTLE,PURCHASE AUTHORIZED ON 04/14 CHIPOTLE 0871 AURORA CO,VISA CARD ...9876,-10.27
Utilities,Internet,02/05/2025,Online,COMCAST,COMCAST-XFINITY  CABLE SVCS 250205 BFBCPVQ  CUSTOMER NAME,DEBIT CARD ...7761,-67.73
Utilities,Mobile,2025-07-26,Online,XFINITY MOBILE,  XFINITY MOBILE 888-936-4968 PA   ,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-57.00
Bills,Insurance,2025-11-17,Online,STATE FARM,STATE FARM  INSURANCE 800-956-6310 IL,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-73.31
Education,Student Loan,05/09/2025,Online,DEPT EDUCATION,DEPT EDUCATION   STUDENT LN 250509 2727Q26MC3H     CUSTOMER NAME,DEBIT CARD ...7761,-308.84
Education,Student Loan,2025-09-18,Online,DEPT EDUCATION,DEPT EDUCATION   STUDENT LN 250918 L2NK9395Y3S     CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-230.33
Transfers,Zelle,09/26/2025,Online,ZELLE,ZELLE  TO    JOHN  DOE  ON  09/26  REF  #  K4ZQ65PNU37T  SCHOOL,DEBIT CARD ...7761,-181.08
Rewards,Cash Back,2025-02-26,Online,CASH BACK,  CASH  BACK  REDEMPTION  REF  177682486   ,DEBIT CARD ...7761,13.62
Transport,Tolls,03/02/2025,Denver CO,E 470 EXPRESS TOLLS,E 470 EXPRESS TOLLS 303-5373470 CO,DEBIT CARD ...7761,-15.10
Utilities,Mobile,2025-01-11,Online,XFINITY MOBILE,XFINITY MOBILE 888-936-4968 PA,VISA CARD ...9876,-101.92
Transport,Tolls,02/20/2025,Denver CO,E 470 EXPRESS TOLLS,E 470 EXPRESS TOLLS 303-5373470 CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-4.95
Transfers,Zelle,11/12/2025,Online,ZELLE,ZELLE TO  EMMA BROWN ON 11/12 REF # VHKK9K83ZNEU CAR,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-27.32
Transfers,Zelle,12/25/2025,Online,ZELLE,ZELLE TO  CHRIS PATEL ON 12/25 REF # BFCZZNFFGZPM RENT,VISA CARD ...9876,-198.35
Home,Mortgage,2025-09-24,Online,PENNYMAC,PENNYMAC         CASH Sep 25 8817789110-0008 CUSTOMER NAME,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-2402.15
Cash,ATM,2025-05-18,Aurora CO,ATM WITHDRAWAL,ATM WITHDRAWAL AUTHORIZED ON 05/18 3521 N Tower Rd Aurora CO 000,VISA CARD ...9876,-90.29
Online,Shopping,01/22/2025,Online,AMAZON.COM,AMAZON  MKTPL*F56S7GZJDR  Amzn.com/bill  WA,DEBIT CARD ...7761,-50.24
Dining,Fast Food,2025-04-21,Aurora CO,CHICK-FIL-A,PURCHASE AUTHORIZED ON 04/21 CHICK-FIL-A #03255 AURORA CO,DEBIT CARD ...7761,-23.17
Transfers,Zelle,01/30/2025,Online,ZELLE,ZELLE  TO    MARIA  LOPEZ  ON  01/30  REF  #  WF4X8D6UNKGQ  RENT,WELLS FARGO ACTIVE CASH VISA(R) CARD ...0123,-215.52
Transport,Tolls,2025-05-07,Denver CO,E 470 EXPRESS TOLLS,E 470 EXPRESS TOLLS 303-5373470 CO,VISA CARD ...9876,-17.69
Food,Groceries,07/17/2025,Denver CO,COSTCO GAS,PURCHASE  AUTHORIZED  ON  07/17  COSTCO  GAS  #1652  DENVER  CO,WELLS FARGO ACTIVE CASH VISA(R) CARD ...4321,-67.25
